7,83.14258428,-4.040000269,3.764999969,62.556,1.663,24.72400072,0.476999974,110.7729346,1.332324892,20.69401998,1.019999913,4462.989021,-8.625,98.60708963,29.27982878,-2.578993307,143.0703779,-18.25158013,-2.223040548,6.28362,160.4154411,-8.179650084,45.06462029,56.7234096,5.764899292,171.5696574,-8.482395942,36,12,14
7,81.09354642,-1.750000075,6.854000111,61.245,5.893,26.05400077,2.156999993,107.6224272,1.327139236,20.85530904,3.172000093,5635.039102,-8.576,91.99521998,28.27661179,0.8812977,142.5248791,-9.425146904,-3.491042998,6.03039,149.4030044,-2.241494154,46.0005678,55.37532861,5.613192749,157.9517763,-2.525967525,36,12,14
7,81.88095196,-0.477999999,4.280999979,60.33,4.008,21.84400023,-5.352000057,109.6546449,1.339196019,17.61505766,-3.106000033,5084.927958,-14.768,94.42876307,23.7074294,-11.8038183,149.0246657,-34.50683084,0.321317983,5.63753,153.0908588,-25.47192573,40.87990934,54.26801857,5.31611145,165.3330337,-26.12724927,36,12,14
7,81.71765118,-0.78400006,6.84200008,62.422,6.432,24.4779995,-0.808000013,106.4806167,1.303030804,20.07650883,0.748000026,4880.616561,-17.168,90.5331097,25.21391943,-6.222706756,144.7233516,-33.10350533,-2.527636381,5.74198,148.7701128,-17.41511921,42.56160723,54.77565006,5.355632935,160.3678275,-18.1854874,36,12,14
7,83.47141303,-0.472999991,7.116999901,60.397,6.848,25.50200025,1.082000042,108.694018,1.302170576,20.59527435,2.412000081,5445.311993,-10.946,93.57567939,28.27883733,-1.492578739,146.0230256,-17.41713877,-2.963801382,6.22433,151.7732766,-7.211732092,45.60931943,55.52728021,5.630558472,160.8611684,-7.486346221,36,12,14
1,98.02718154,2.134999848,9.48000049,49.355,11.314,8.331000297,-1.536000048,146.1508015,1.490921183,7.949894981,-0.571000028,1371.547929,-36.411,95.35110474,7.963708101,-5.944939155,170.9797393,-39.21335121,-0.641096421,3.43378,167.7025505,-17.56752917,13.69622085,87.10790636,3.150863647,228.1241934,-27.40585664,36,12,14
1,97.16372768,-1.17799992,12.1389999,48.903,11.111,9.141000114,0.599999995,134.2512658,1.381701475,8.245549366,1.888,1960.707545,0.56,102.803514,9.667713916,3.508448313,196.1592423,3.302985216,-4.525542022,4.86236,174.3206048,6.105905234,16.99622072,73.50735137,3.776172485,221.7168965,7.197192587,36,12,14
1,97.10780077,0.684999982,11.13099939,50.262,11.701,7.033000111,-0.726999999,132.083482,1.360173755,6.420998769,0.915000023,2093.369641,4.282,90.55702851,6.552512257,2.187118762,188.6020047,6.748371914,-3.303879437,4.87455,154.4136679,4.707775063,13.09355814,75.97391889,3.258250122,206.3151313,6.494348168,36,12,14
1,96.52620012,1.708000024,12.37799995,51.763,13.724,8.665999731,-4.062000157,128.5186295,1.331437779,8.075576637,-1.806000016,2666.801964,-18.007,99.82092378,9.602310181,-7.760805943,158.7246474,-22.57626654,-2.592763569,3.54437,165.9398686,-18.64870222,18.27271571,66.7680452,3.883652954,206.4150744,-24.473909,36,12,14
1,96.16829007,1.509999968,11.91300053,53.556,13.028,2.326000004,-4.897999944,124.9026219,1.298792168,2.517059289,-3.848000099,1892.157073,-25.588,36.10033626,0.87090348,-3.041175112,101.5067421,-15.16224657,-2.30373793,2.02629,66.78236819,-6.65149888,3.487144449,99.06403572,1.231709595,130.8770317,-13.92335633,36,12,14
7,88.41729262,-5.361999413,1.831999995,57.366,-1.614,19.2070008,2.567000028,113.1820928,1.280090008,13.63969784,2.369000155,6253.622141,0.038,97.50254711,20.9280056,4.049117426,145.665617,5.242162048,-2.431998756,5.91365,154.0861957,6.415348363,38.82902497,52.70017771,5.19057312,165.3974803,6.299312376,30,-2,-2
7,88.11082952,-5.642000348,4.89900034,61.278,1.795,21.22299943,2.833000037,117.7252831,1.336104582,17.17271137,3.21199994,4750.60843,-7.612,107.4076585,27.94421966,1.709687064,154.8518692,-12.97653644,-2.154557158,6.4896,171.030948,-1.134224405,43.26034728,56.22590686,5.810575562,182.8685011,-1.615660716,30,-2,-2
7,87.41290363,-4.552999962,3.673000023,67.423,1.776,21.10199921,1.022000032,118.7291819,1.358256928,17.07855328,1.526000043,4771.213219,-5.657,109.0779534,28.52280281,-0.405056719,160.3446849,-13.52825211,-1.487336317,6.60065,172.958719,-3.548258257,43.65589241,56.4330864,5.873140259,184.5652193,-3.832246482,30,-2,-2
7,91.17767065,-4.953000064,7.138000241,59.25,4.183,20.65299965,0.99900001,123.5449676,1.354991488,16.83355111,2.11399985,4839.978748,-8.616,115.175339,30.80761619,-1.345511923,166.7717919,-15.43238977,-1.352680544,6.42924,181.1733581,-6.917587363,44.86020174,57.34997837,6.101517944,192.4399823,-7.282144059,30,-2,-2
7,92.89340834,-5.15700024,5.956000362,58.645,2.804,22.77100033,4.014000149,122.4158319,1.317809672,18.62637728,4.367999629,5050.873956,-2.322,113.1613245,34.02081553,7.060207381,163.2716581,5.875847689,-2.501785788,6.69957,178.4548972,9.851051678,47.68100757,58.4338663,6.277295532,187.7020204,9.358069666,30,-2,-2
1,109.8203363,1.460999991,7.65699924,46.355,9.05,17.40599944,7.263000328,153.7845241,1.400328293,16.43331869,7.292999811,1486.661252,-18.811,156.2398662,31.66276518,11.36846358,261.4569502,-21.9985823,-2.964794404,6.94625,260.4673405,9.09992511,34.10069847,73.41652903,5.997792358,291.9287417,6.789679912,30,-2,-2
